"","WORD","FREQ","cor.tok"
"1"," ",11782,NA
"1198"," ּ",1,NA
"301","  ",6,NA
"1199","   ",1,NA
"1200","     ",1,NA
"85","-",31,NA
"24","—",105,NA
"107","⸗",20,NA
"2",",",764,NA
"151",";",15,NA
"3",":",636,NA
"6","!",376,NA
"7","?",294,NA
"4",".",636,NA
"717","‘",2,NA
"1201","“",1,NA
"8","(",233,NA
"9",")",232,NA
"1202","00",1,NA
"1203","033",1,NA
"1204","1000",1,NA
"718","12",2,NA
"302","13",6,NA
"1205","14",1,NA
"1206","15",1,NA
"522","16",3,NA
"1207","17",1,NA
"1208","1908",1,NA
"523","2",3,NA
"524","22",3,NA
"719","23",2,NA
"1209","25",1,NA
"1210","27",1,NA
"720","28",2,NA
"721","3",2,NA
"722","33",2,NA
"723","34",2,NA
"1211","35",1,NA
"1212","37",1,NA
"1213","38",1,NA
"525","4",3,NA
"526","43",3,NA
"1214","44",1,NA
"1215","45",1,NA
"1216","5",1,NA
"724","50",2,NA
"354","5000",5,NA
"725","53",2,NA
"1217","55",1,NA
"1218","59",1,NA
"1219","60",1,NA
"1220","7",1,NA
"1221","8",1,NA
"1222","9",1,NA
"129","א",17,NA
"11","אַ",230,NA
"121","אָ",18,NA
"1223","א.ז",1,NA
"1224","אאָ",1,NA
"1225","אאָקען",1,NA
"192","אב",11,NA
"240","אַב",8,NA
"193","אָב",11,NA
"208","אָבּ",10,NA
"1226","אָבּגֶנוּמֶען",1,"אָבּגֶנוּמֶען"
"726","אָבּגֶעבֶּען",2,"אָבּגֶעבֶּען"
"727","אָבּוואהל",2,NA
"1227","אַבּי",1,NA
"1228","אַבֵּי",1,NA
"527","אַבִּיסֶעל",3,"אַבִּיסֶעל"
"1229","אָבֶּןאנען",1,NA
"58","אָבֶּער",51,"אָבֶּער"
"303","אָבֶּער",6,NA
"1230","אַבּערגְלויבֶּען",1,NA
"1231","אָבּצוּקויפען",1,NA
"1232","אָבּקויפען",1,NA
"1233","אַבְּשִיער",1,NA
"1234","אָדער",1,NA
"267","אָדעֶר",7,"אָדעֶר"
"1235","אַדרבּה",1,NA
"1236","אַה",1,NA
"130","אָה",17,NA
"528","אַהֵיים",3,NA
"425","אַהין",4,NA
"1237","אַהינגֶעהן",1,NA
"142","אָהן",16,NA
"728","אָהנע",2,NA
"1238","אַהעָר",1,NA
"268","אַהֶער",7,NA
"1239","אָהרען",1,NA
"1240","אואונטע",1,NA
"1241","אוָואס",1,NA
"1242","אוֵוייסְ",1,NA
"529","אוֶועק",3,NA
"729","אַוֶועק",2,NA
"1243","אוופטריט",1,NA
"74","אוי",38,NA
"730","אוֹי",2,NA
"426","אויבּ",4,NA
"1244","אויבּען",1,NA
"1245","אויג",1,NA
"81","אויגֶען",36,"אויגֶען"
"530","אויגענבּליק",3,NA
"1246","אויגענליכט",1,NA
"1247","אויגענקראנקהייט",1,NA
"70","אויך",40,"אויך"
"355","אויךְ",5,NA
"731","אוים",2,NA
"732","אוינ",2,NA
"1248","אוינען",1,NA
"152","אוינֶען",15,"אוינֶען"
"531","אוינענבּליק",3,NA
"1249","אוינענקראנקהייט",1,NA
"122","אויס",18,NA
"1250","אויסאגען",1,NA
"1251","אויסְבְּלֵייבֶּען",1,NA
"532","אויסגֶעהאפּט",3,NA
"1252","אויסְגֶעוֶועהלְט",1,NA
"733","אויסְגֶעזֶעהן",2,NA
"1253","אויסגעלאט",1,NA
"1254","אויסגעלאָןט",1,NA
"1255","אויסְגֶעלאסֶענֶע",1,NA
"1256","אויסְגֶעלַאסֶענֶע",1,"אויסְגֶעלַאסֶענֶע"
"1257","אויסְגֶעלַאסֶענֶער",1,"אויסְגֶעלַאסֶענֶער"
"1258","אויסגעלייוט",1,NA
"1259","אויסגעפוצט",1,NA
"1260","אויסגעקראצט",1,NA
"1261","אויסְגֶעשְטְרֶעְקְט",1,NA
"1262","אויסְגֶעשְרִיען",1,NA
"533","אויסחאפּען",3,NA
"1263","אויסחאפּעניש",1,NA
"1264","אויסלָאזֶען",1,NA
"1265","אויסְמָאהלֶען",1,NA
"1266","אויסניצען",1,NA
"1267","אויסס",1,NA
"734","אויסער",2,NA
"1268","אויסֶערְוֶועהלְט",1,NA
"1269","אויסרייסען",1,NA
"1270","אויסרעדֶען",1,NA
"1271","אויפ",1,NA
"38","אויף",81,NA
"735","אויפְגֶעהֶערְט",2,"אויפְגֶעהֶערְט"
"1272","אויפגעכאפּט",1,NA
"1273","אויפגערענט",1,NA
"1274","אויפגעשטאנען",1,NA
"1275","אויפהֶערֶען",1,NA
"123","אויפטריט",18,NA
"736","אויפֿטריט",2,NA
"1276","אויפטרעטען",1,NA
"737","אויפרעגוּנג",2,"אויפרעגוּנג"
"1277","אויפרעגען",1,"אויפרעגען"
"1278","אויקרוּפען",1,NA
"209","אוּם",10,NA
"1279","אומארמונג",1,NA
"534","אומארמט",3,NA
"738","אוּמאַרמען",2,NA
"1280","אוּמגליק",1,NA
"1281","אוּמגעוֶוערפען",1,NA
"739","אונ",2,NA
"143","און",16,NA
"10","אוּן",232,"אוּן"
"1282","אוּנְאַנְגֶענֶעהם",1,NA
"153","אוּנְגְלִיק",15,"אוּנְגְלִיק"
"1283","אוּנְגְלִיקְלִיג",1,"אוּנְגְלִיקְלִיג"
"535","אוּנְגְלִיקליך",3,NA
"1284","אוּנְגְלִיקליךְ",1,NA
"1285","אוּנְגְלִיקְלִיך",1,"אוּנְגְלִיקְלִיך"
"1286","אוּנְגְלִיקליכען",1,NA
"1287","אוּנְגְלִיקְלִיכֶען",1,"אוּנְגְלִיקְלִיכֶען"
"1288","אוּנְגְלִיקליכעס",1,NA
"1289","אוּנְגלִיקְלִיכֶער",1,NA
"427","אוּנְגְלִיקליכער",4,NA
"1290","אוּנְגְלִיקְלִיכֶער",1,"אוּנְגְלִיקְלִיכֶער"
"740","אוּנְהֵיילְבַּאר",2,"אוּנְהֵיילְבַּאר"
"1291","אונְז",1,NA
"131","אוּנְז",17,"אוּנְז"
"132","אוּנְזער",17,NA
"1292","אוּנְזעֶר",1,"אוּנְזעֶר"
"1293","אוּנְזֶער",1,NA
"1294","אוּנְזעֶרן",1,"אוּנְזעֶרן"
"1295","אוּנְזערע",1,NA
"741","אוּנְזעֶרֶע",2,"אוּנְזעֶרֶע"
"269","אונטער",7,NA
"1296","אונטערברעכענד",1,NA
"1297","אוּנטערזוּכוּנג",1,NA
"1298","אונטערשרייבט",1,NA
"1299","אוּנטערשרייבּען",1,NA
"1300","אונטערשריעבּען",1,NA
"1301","אוּנטערשריעבּען",1,NA
"1302","אונטערשריפט",1,NA
"1303","אוּנכאפּען",1,NA
"1304","אונמאכט",1,NA
"1305","אוּנמעכטיג",1,NA
"1306","אונמענליך",1,NA
"1307","אוּנס",1,NA
"1308","אוּנערפארענעס",1,NA
"1309","אונצופריעדענער",1,NA
"428","אוּנרעכט",4,NA
"742","אונשוּלד",2,NA
"1310","אוּנשוּלד",1,NA
"1311","אונשוּלדִיג",1,NA
"1312","אונשוּלדִיגען",1,NA
"1313","אונשוּלדִיגעס",1,NA
"1314","אוּרזָאכע",1,NA
"59","אַז",51,NA
"97","אַזַא",26,"אַזַא"
"1315","אַזַאַ",1,NA
"1316","אָזָאַ",1,NA
"34","אַזוי",89,NA
"1317","אַזויפְיעל",1,NA
"536","אָט",3,NA
"1318","אַטען",1,NA
"356","אִי",5,"אִי"
"1319","אַיָא",1,NA
"179","אִיבֶּער",12,"אִיבֶּער"
"743","אִיבֶּערַאל",2,"אִיבֶּערַאל"
"1320","אִיבֶּערגעזִינגען",1,NA
"1321","אִיבֶּערדָאשט",1,NA
"744","אֵיבּערהוֹיפּט",2,"אֵיבּערהוֹיפּט"
"745","אִיבֶּערלָאזֶען",2,NA
"746","אִיבֶּערְלֶעגְט",2,"אִיבֶּערְלֶעגְט"
"1322","אִיבֶּערְלֶעגֶן",1,"אִיבֶּערְלֶעגֶן"
"1323","אִיבֶּערְלֶעגֶע",1,"אִיבֶּערְלֶעגֶע"
"1324","אִיבֶּערְלֶעגֶען",1,"אִיבֶּערְלֶעגֶען"
"1325","אִיבֶּערנאַנג",1,NA
"1326","אִיבֶּערצוּקוּמען",1,NA
"1327","אִיבערציהֶער",1,NA
"747","אִיבֶּערציינט",2,NA
"1328","אִיבֶּערציינע",1,NA
"1329","אִיבֶּערקוּמען",1,NA
"1330","אִיבֶּערקעהרט",1,NA
"1331","אִיבֶּערקעהרען",1,NA
"1332","אִיבֶּערראשט",1,NA
"1333","אִיבּרינענס",1,NA
"1334","אִיה",1,NA
"1335","אִיה'ש",1,NA
"1336","איהם",1,NA
"37","אִיהם",85,"אִיהם"
"537","איהר",3,NA
"14","אִיהר",155,"אִיהר"
"1337","איהרע",1,NA
"194","אִיהרע",11,NA
"748","אִיהרען",2,NA
"12","אִיז",198,"אִיז"
"749","אִיזט",2,"אִיזט"
"1338","אִייבּיג",1,NA
"1339","אִייבּערשטער",1,NA
"1340","אִייגאַ",1,NA
"750","אַייגֶען",2,"אַייגֶען"
"1341","אֵייגֶענֶען",1,NA
"1342","אֵיידֶעם",1,NA
"751","אִיידֶער",2,NA
"1343","אֵיידֶער",1,NA
"1344","אַייזען",1,NA
"1345","אִייזער",1,NA
"48","אַייך",58,"אַייך"
"1346","איין",1,NA
"357","אֵיין",5,NA
"35","אַיין",88,"אַיין"
"1347","אַיינבּיינען",1,NA
"1348","אִיינגעוִויקעלטען",1,NA
"1349","אַיינגֶערֶעדְט",1,NA
"1350","אַיינדרוּק",1,NA
"1351","אִיינהַאלְטען",1,NA
"1352","אַיינווענדֶען",1,NA
"1353","אִיינזֶעהן",1,NA
"752","אַיינִינֶע",2,"אַיינִינֶע"
"1354","אִיינסיי",1,NA
"112","אַיינע",19,"אַיינע"
"753","אַיינעם",2,NA
"538","אַיינען",3,NA
"1355","אַיינענטהימער",1,NA
"754","אַיינענע",2,NA
"1356","אַיינענער",1,NA
"755","אַיינער",2,"אַיינער"
"1357","אַיינְפַאכֶע",1,NA
"1358","אִיינציג",1,NA
"1359","אַיינציג",1,NA
"1360","אִיינצינע",1,NA
