"","Lfd. Nr.","Konzentrationslager und Außenkommandos","Konzentrationslager und Außenkommandos","Hauptlager der Außenkommandos"
"1","","A","A",""
"2","1","Abteroda, Kreis Eisenach","Abteroda, Kreis Eisenach","Buchenwald"
"3","1","","bis 8.4.1945",""
"4","2","Adlershorst, Gemeinde Gotenhafen,","Adlershorst, Gemeinde Gotenhafen,","Stutthof"
"5","2","","13.9.1939 bis 30.11.1941",""
"6","3","Adorf, siehe Artern","Adorf, siehe Artern",""
"7","4","Aflenz, siehe Graz","Aflenz, siehe Graz",""
"8","5","Ahlem, siehe Hannover-Ahlem","Ahlem, siehe Hannover-Ahlem",""
"9","6","Ahrensbök, Kreis Eutin/Oldenburg,","Ahrensbök, Kreis Eutin/Oldenburg,",""
"10","6","","5.12.1933 bis 9.5.1934",""
"11","6a","Alderney, Einsatzort der I. SS-Baubrigade","Alderney, Einsatzort der I. SS-Baubrigade","Sachsenhausen, ab Mitte Februar 1943 Neuengamme"
"12","7","Alexoten-Aleksotas, siehe Kauen-Alexoten","Alexoten-Aleksotas, siehe Kauen-Alexoten",""
"13","8","Alfred I/Sachsen, Kdo. v. Ellrich","Alfred I/Sachsen, Kdo. v. Ellrich","Dora-Mittelbau"
"14","9","Allach, siehe München-Allach","Allach, siehe München-Allach",""
"15","10","Allendorf bei Kirchhain, Kreis Marburg,","Allendorf bei Kirchhain, Kreis Marburg,","Buchenwald"
"16","10","","16.8.1944 bis 27.3.1945",""
"17","11","Allersdorf-Liebhof, siehe Liebhof","Allersdorf-Liebhof, siehe Liebhof",""
"18","11a","Alt Daber (Männer), Gemeinde Wittstock/Brandenburg,","Alt Daber (Männer), Gemeinde Wittstock/Brandenburg,",""
"19","11a","","8.5.1933 bis 25.5.1933",""
"20","12","Altdorf = Stara Wies, Kreis Pleß/Schlesien,","Altdorf = Stara Wies, Kreis Pleß/Schlesien,","Auschwitz"
"21","12","","1.10.1942 bis 30.11.1943",""
"22","13","Altenburg/Thüringen,","Altenburg/Thüringen,","Ravensbrück,"
"23","13","","bis 12.4.1945 (Frauenlager)","ab 1.9.1944"
"24","13","","27.11.1944 bis 12.4.1945 (Männerlager)","Buchenwald"
"25","14","Altenhammer, Kreis Neustadt a. d. Waldnaab,","Altenhammer, Kreis Neustadt a. d. Waldnaab,","Flossenbürg"
"26","14","","1.12.1944 bis 30.4.1945",""
"27","15","Alt-Garge a. d. Elbe,","Alt-Garge a. d. Elbe,","Neuengamme"
"28","15","","24.8.1944 bis 15.2.1945",""
"29","16","Althammer/Pommern","Althammer/Pommern","Stutthof"
