"","id","date","event","text"
"1",1,"2024-11-29","EXC 2020 Jour Fixe #19 | A Dialogue with Novelist Saskya Jain on Transtemporal Storytelling","Organised by Till Kadritzke, Michail Leivadiotis, Friederike Schäfer, and Sebastian Tränkle in collaboration with Torsten Jost and Matthias Warstat, Research Area 2: ""Travelling Matters"".
We warmly invite all Cluster members to our final Jour Fixe of the year with EXC Dorothea Schlegel Artist in Residence Saskya Jain. This session will delve into the themes and narrative techniques at the heart of Jain’s work as a novelist, featuring selected readings that will set the stage for an open discussion on her creative process. Jain’s latest project, Taj Mahal Tempelhof, marks an exciting new chapter in her storytelling, shifting her narrative focus from New Delhi to Berlin, and will be an essential part of our conversation.
Saskya Jain is an acclaimed novelist from New Delhi whose writing explores themes of power, gender, class, and religion within contemporary Indian society. Her novels, Fire Under Ash (Penguin Random House, 2014) and Geeta Rahman at Championship Point (Simon & Schuster, 2021), have earned nominations for prestigious awards and are celebrated for their sharp social critique. Jain’s stories and essays have appeared in publications such as The Economist, The Caravan, and DIE ZEIT, and she has held teaching and residency positions internationally.
About Taj Mahal TempelhofIn her latest novel project, Taj Mahal Tempelhof, Jain moves beyond the Indian setting to contemporary Berlin, crafting a story that spans continents and centuries. This novel challenges prevailing narratives of global interconnectedness, exploring themes of language, mobility, and cultural exchange from a non-Western perspective. Jain will share insights into the challenges and discoveries involved in writing across distinct cultural and historical landscapes, offering a deeper look at how storytelling can traverse boundaries.
We look forward to an inspiring morning with Saskya Jain and a thought-provoking conclusion to this year’s Jour Fixe series!"
"2",2,"2024-11-29","Reading and Talk | To Produce Understanding: A Rosmarie Waldrop Night","Organised in cooperation between the DAAD Artists-in-Berlin Program and the project Writing Berlin, Research Area 4: ""Literary Currencies"".
With Rosmarie Waldrop (remote) and Ann Cotten, Nikolai Duffy, Dagmara Kraus, Anouk Luhn, Theresa Mayer, Ludwig Drosch, Olaf Nicolai, Felix Schiller, The Same, Saskia Warzecha and more
Curated by Ann Cotten, Anouk Luhn, Mathias Zeiske
In 1993, the poet and translator Rosmarie Waldrop spent a year in Berlin at the invitation of the DAAD Artists-in-Berlin Program. Waldrop’s artist file in the DAAD archives provides insights into her literary projects and networks during this period: Together with Elke Erb and Joachim Sartorius, Waldrop worked on a German translation of Keith Waldrop’s Ceremony Somewhere Else which was published by Galrev in 1995. In the same year, 'Berlin Portfolio', a selection of East and West German poets curated and translated by Rosmarie Waldrop, appeared in the Exact Change yearbook, as did Waldrop’s first ever book in the German-speaking context, Reproduction of Profiles / Reproduktion von Profilen, translated by Hannah Möckel-Rieke.
Taking Waldrop’s multifaceted literary activities as a starting point, our event aims to bring together scholars, poets, translators and artists to discuss and celebrate Waldrop’s influential work in the context of her poetics, her translation work and her literary networks, and as one of the many international voices shaping Berlin’s literary landscape in the 1990s – and today.
The event will be held in English and German. / Die Veranstaltung findet auf Englisch und Deutsch statt."
"3",3,"2024-12-02","International Workshop | Anthologies Across Cultures: Textual Methods – Aesthetic Practices – Temporal Entanglements","Organised by Anne Eusterschulte and Beatrice Gründler, project Premodern Anthologies and the Selective Fiction of Tradition Building, Research Area 3: ""Future Perfect""
The aim of our second workshop in 2024 is to bring together experts from various classical, pre-modern and contemporary fields of research to examine anthological text or text-image formats based on case studies from different cultures and time periods. From a comparative perspective, we ask about philological, literary, and artistic principles of selection and collection, about implicit epistemic orders as well as aesthetic strategies, and thus about anthologizing procedures as aesthetic practices. The very conception of anthologies in the premodern context reveals a transcultural entanglement of textual witnesses from different, even distant linguistic and temporal spheres, from diachronic as well as synchronic traditions and socio-historical contexts. Anthologies can be seen as transcultural and at the same time transtemporal media of negotiation. By collecting textual as well as artistic witnesses, networks of scholars (synchronic and diachronic) become indirectly manifest. Through the selection of fragmented texts, images and materials polyphonic, cross-cultural discourses emerge and create ever shifting traditions and audiences. In this sense, anthologizing as practice always shapes and generates ""temporal communities"".
Programme
Monday, 2 December 2024
20:00 | Open Table Talk (with all active participants): Practices of 'Anthologising'
Tuesday, 3 December 2024
9:45-10:00 | Anne Eusterschulte & Beatrice Gründler (Freie Universität Berlin/EXC 2020): Welcome and Introduction
Chair: Beatrice Gründler
10:15-11:15 | Johannes Stephan (Freie Universität Berlin): The Anthological Epistemology of adab (Arabic Writings from the Eighth and Ninth Centuries CE)
11:30-12:30 | Reimund Leicht (Freie Universität Berlin): Peshat in Context (Philosophic and Scientific Hebrew Terminology)
Lunch Break
Chair: Glenn Most (Max Planck Institute for the History of Science)
13:30-14:30 | Holger Gzella (Ludwig-Maximilians-Universität München): Biblical Wisdom Books as Cross-Cultural Anthologies
14:45-15:45 | Mark Geller (University College London): Wissenstransfer Gone Wrong: Akkadian Omens in Aramaic Anthologies
16:00-17:00 | Christian Mauder (Freie Universität Berlin): Anthologising Practices Between the Library and the Salon: Insights from the Egyptian Court of Qanisawh al-Ghawri (r. 1501-1516)
Coffee Break
Chair: Hanan Natour (EXC 2020)
17:30-18:30 | Theodore S. Beers (Anonym Classic, FU Berlin; Drexel University, Philadelphia): Arabic Anthologists' Discussion of Persian Poets
18:45-19:45 | Giulia Baldelli (Stuttgart Research Center for Text Studies): Handbooks, Florilegia and 'Treasure Chests': The Anthological Dissemination of Jacob Böhme’s 'Mysticism'
Wednesday, 4 December 2024
Chair: Anne Eusterschulte (Freie Universität Berlin/EXC 2020)
10:15-11:15 | Elisabeth Décultot, Martin Dönicke (Martin-Luther-Universität Halle-Wittenberg): Edition Winckelmann Exzerpte Digital
11:30-12:30 | Jan Jacob van Ginkel (Freie Universität Berlin): Compiling History: Some Remarks on the Methodology and Goal of Using Excerpts in Syriac Historiography
Lunch Break
Chair: Hanan Natour (EXC 2020)
13:30-14:30 | Isabel Toral (Freie Universität Berlin): The Unique Necklace by Ibn Abd Rabbih (d. 940 AD): Textual Practices and Authorial Voice
14:45-15:45 | Bilal Orfali (American University of Beirut): Prestige (Sharaf) as a Criterion for Inclusion in Anthologies
16:00-17:00 | Florentina Geller (The Royal Anthropological Institute of Great Britain and Ireland, London): Visual Anthologies
Coffee Break
Chair: Anne Eusterschulte & Beatrice Gründler (Freie Universität Berlin/EXC 2020)
17:30-18:30 | Andrew James Johnston (Freie Universität Berlin/EXC 2020): Chaucer's Canterbury Tales - an Act of Self-Anthologising?
19:00 |  Final Discussion - Plans"
"4",4,"2024-12-02","Research Area 4 Meeting | Werkstattgespräch mit Łęko Zygmuntówne","Organisiert von Sima Ehrentraut und Alexandra Ksenofontova, Research Area 4: ""Literary Currencies"".
Łęko Zygmuntówne ist Lyriker:in und Chemiker:in, schloss ein Ingenieursstudium in Nanotechnologie ab, hat einen Doktor:intitel in Chemie und einen/eine Master:in in angewandter Mathematik. Łęko Zygmuntównes literarischer Stil ist maßgeblich durch diesen wissenschaftlichen Hintergrund geprägt. Die bisherigen Publikationen umfassen vier mehrfach ausgezeichnete Lyrikbände: ""Kokosty"" (2018, Ü: Kokosdisteln); ""Agresty"" (2019; Ü: Stachelbeeren); ""Orzechnia. Orzechnini – Orzechnica – Orzechniczka"" (2021; Ü: Nussbaum); und ""Hiobby"" (2023; Ü: HiobBy).
Über diesen letzten Band, dessen Auseinandersetzung mit den Themen Identität, Sprache und Sexualität sowie über die Übersetzung der Gedichte tauscht sich Łęko Zygmuntówne mit Sima Ehrentraut und Alexandra Ksenofontova im Rahmen des Werkstattgesprächs aus."
"5",5,"2024-12-04","Festival Barrio (Bairro) | Die Erfindung Berlins. Lateinamerikanische Perspektiven auf die deutsche Hauptstadt. Gespräch und Lesung","Konzipiert und organisiert von Ana Rocío Jouli, Research Area 2: ""Travelling Matters""/Constellations in Kooperation mit Barrio (Bairro) Berlin.
Mit Esther Andradi, Sonia Solarte Orejuela, Regina Riveros, Sol Narvaez und Ana Hupe, Moderation von Douglas Pompeu.
Wer waren die ersten Autor:innen aus Lateinamerika in Berlin? Welche von ihnen haben die nachdrücklichsten Spuren hinterlassen? Wie haben sie die Stadt in ihren Werken beschrieben und sich zu eigen gemacht? Zwei Protagonistinnen der lateinamerikanischen Szene, die eine kam vor dem Mauerfall nach Ost-, die andere nach West-Berlin, öffnen ihre persönlichen Archive und stellen zusammen mit den Macher:innen des Festivals Barrio|Bairro Berlin eine Karte der lateinamerikanischen Orte in der deutschen Hauptstadt vor. Anschließend präsentiert Regina Riveros „Probador de poesía"", eine Lesereihe, in der einige der interessantesten jungen Autor:innen der lateinamerikanischen Szene auftreten.
Diese Veranstaltung ist Teil von Barrio (Bairro) Berlin. Lateinamerikanisches Literaturfestival.
Das Festival Barrio (Bairro) Berlin stellt zeigenössische Literatur aus Lateinamerika und der lateinamerikanischen Diaspora vor - aus transtemporaler, dekolonialer und interdisziplinärer Perspektive. Berlin ist ein wichtiger Ort lateinamerikanischen Schreibens, neue Heimat vieler lateinamerikanischer Autor:innen und Handlungsort aktueller lateinamerikanischer Literatur. Das Festival feiert diese reiche, vielfältige und dynamische Szene und ihre Akteur:innen - mit Lesungen, Performances, Podiumsgesprächen, Workshops, Archivbefragungen, Klangritualen, Spaziergängen und einer Party.
Die Veranstaltung findet auf Deutsch und auf Spanisch statt und wird simultan verdolmetscht."
"6",6,"2024-12-05","Lesung und Gespräch mit Maren Kames | Sturzoffenheit","Organisiert von Julia Weber (Peter Szondi-Institut für Allgemeine und Vergleichende Literaturwissenschaft, Freie Universität Berlin) und Barbara Bausch, Research Area 4: ""Literary Currencies"".
Das Ich in Maren Kames' erstem langen autofiktionalen Prosatext, Hasenprosa (Suhrkamp 2024), zeigt sich als leidenschaftliche Rezipientin – insbesondere in der fortschreibenden Lektüre Friederike Mayröckers, die von Paul Jandl treffend als Kames' ""Zweithase"" bezeichnet wurde. Wir haben Kames eingeladen, um mit ihr ausgehend von dem aus einem einzigen Satz bestehenden Buch mein Herz mein Zimmer mein Name von 1988 über die Effekte der Mayröcker-Lektüre zu sprechen: über die Modi des Lesens und Schreibens, die durch deren atemlose und stark rhythmisierte Prosa inspiriert werden. Im Mittelpunkt steht damit zugleich Kames' jüngste Veröffentlichung Hasenprosa – ein Buch über (unter anderem) das Stürzen, Abtauchen und Fliegen, das Wachsein und das Träumen, das Trauern und das Erinnern, das die Leserin einlädt zu einer so wilden wie behutsamen Reise durch Zeiten, Räume und Stimmungen.
Maren Kames, 1984 in Überlingen am Bodensee geboren, lebt als freie Autorin und Übersetzerin in Berlin. Ihre Bücher Halb Taube Halb Pfau und Luna Luna wurden viel beachtet und mehrfach ausgezeichnet, letzteres war 2020 für den Preis der Leipziger Buchmesse nominiert und wurde vom Schauspiel Leipzig für die Bühne adaptiert. Hasenprosa, ihr erster Roman, stand 2024 auf den Shortlists für den Deutschen Buchpreis und den Wilhelm Raabe-Literaturpreis."
"7",7,"2024-12-06","International Conference | Visualising Universalisms","Organised by Michail Leivadiotis (EXC 2020) and Roland Betancourt (University of California, Irvine), Research Area 1: ""Competing Communities"".
Universalism in philosophy, theology, social and political thought is a concept in constant evolution and change. The assumption and the claim that human nature and experience can be reduced to a single principle or truth has historically led to the gradual extension of ideals and rights to all human beings, while, critics have raised objections to a construct that tends to flatten the specificities of minorities and individuals.
Religious conceptions of universalism deal with the problem of salvation and the sharing of a singular truth. Empires construct ideologies and representations of universal power to legitimise their expansion. Kant's idea of the universality of morality in relation to human beings as rational agents and the Enlightenment 'project' of the universal validity of reason, gave impetus to an idea of universalism that has reached into modernity with the self-organisation of digital society and the theoretical discourse of posthumanism.
We examine how political claims (translatio imperii), religious politics (ecumenism, uniatism, translatio sancti) and cultural agency (cultural mobility, translatio studii) create new systems of textual and visual imagery. We consider representations of the self as part of a historical and cultural continuum that are structured by textual and visual programmes that commemorate narratives of common purpose, origin or future.
The conference focuses on the mechanisms of visual representation of universalist narratives of the past and the future. We examine shared narratives of spatial and/or temporal commons, imagined geographies, visual narratives and shared imagery that has emerged as celebratory gestures (or dystopian forebodings) towards a universalist understanding of the world. By searching for a common vocabulary, a shared visual code, we aim to highlight conceptualisations of global perceptions of cultural traditions.
We explore the contact zones between cultures, between dogma and heresy, between the sacred and the monstrous, between the scientific and the imaginary, between the political and the fictional. We explore conceptualisations of spatial and/or temporal entanglements, conceptual representations of commonalities, inter-confessional (or even inter-religious) communities of devotion, the rituality of time and sacred spaces. We trace in-betweenness, hybridity and the uncanny as versions of the imagined global. We see artefacts, images, heirlooms, the press, architecture, cyberspace, layout as a field for exercising different understandings of the commons, imagery communities, visual universalisms.
Programme
Friday, 6 December
13:30–14:00 | Arrival and Coffee
14:00–14:30 | Michail Leivadiotis (EXC 2020) and Roland Betancourt (University of California-Irvine): Welcome & Introduction
 14:30–16:00
Daniel Spaulding (University of Wisconsin-Madison): Iconology’s Universals
Jennifer Nelson (University of Delaware): Art as Capitalism’s Canary
16:15–17:45
Fabian Röderer (Universität Hamburg): Universalist Narratives Told by Universalist Media? The Case of Post-War Photo Exhibitions
Sebastian Lederle (Bauhaus-Universität Weimar): Precarious Effects of Universalisation: Hegemony and Political Power in Paolo Sorrentino’s The Young Pope (2016)
18:00–19:30
Jonas Tinius (Saarland University): Curating Minor Universality? Anthropological Reflections on a Concrete Problem
Friederike Schäfer (EXC 2020): Universalist Views in the Exhibition Space—From the Perspective of the Anthropocene Debate
Saturday, 7 December
09:30–10:00 | Arrival and Coffee
10:00–11:30
Olga Touloumi (Bard College): The Chart and the Plan: Presenting the United Nations to the World
Galina Babak (Universität Konstanz): When Two Modernities Coincided Visually: Maik Iohansen on Shop Signs and Soviet Propaganda Posters in 1920s Kharkiv
11:45–13:15
Nicholas Jones (Yale University): Rethinking Luis: Theorising Blackness in Cervantes’s El celoso extremeño (1613) 
Monika Raič (Humboldt Universität zu Berlin): ""Alone with the whole world"". Loneliness as Illusion and Universal Phenomenon in Gustave Flaubert’s La Tentation de Saint Antoine
13:15–14:15 | Lunch
14:15–15:45
Marisa Bass (Yale University): Jan van der Heyden’s Relativism
Anna Schober de Graaf (Alpen-Adria Universität): The Other as Everybody: Pictorial Figures, Addressing Everyone and Mediating Both Equality and Difference
16:00–17:30
Apostolos Lampropoulos (University Bordeaux Montaigne, CRAL): Dark to Green to Dust: Scaling Universal (Un)homeliness
Katerina Stemni and Andriana Thanou (Freie Universität Berlin): A Universalist Cry: Landscapes of Wail
17:30–18:00 | Michail Leivadiotis and Roland Betancourt: Closing Remarks"
"8",8,"2024-12-07","Reading and Discussion | Places of the Displaced","Organised by Susanne Frank (Humboldt-Universität zu Berlin/EXC 2020), Research Area 1: ""Competing Communities"".
The terms ""exile"" and ""writer (or artist) in exile"" are part of the conceptual lexicon of empire and authoritarian politics. They presuppose politically motivated flight or ejection from the people and the land of one’s belonging. Although placed outside the borders of that land, the writer in exile still in some way longs and labors for—and consequently belongs to—some future form of its social organisation.
We want to question the terms ""exile"" and ""writer in exile,"" distinguishing among the different reasons writers might find themselves outside the borders which they grew up inside of, the different ideologies they use to make sense of their displacement, and the different ways in which they construct or fail to construct a ""home."" Particular attention will be paid to twentieth- and twentieth-century waves of immigration to the West from the Russian Empire, the Soviet Union, and the political formations that succeeded them. 
Participants:Katja Petrowskaja, Kyiv born author of Maybe Esther and The Photograph Looked Back at MeEugene Ostashevsky, Leningrad born American author of translingual poetry like The Feeling Sonnets and The Pirate Who Does Not Know the Value of PiModerator: Susanne Frank"
"9",9,"2024-12-09","Conversation | ""The Unnatural Permanence of My Polished State"": A Conversation Between Bani Abidi and Saskya Jain","Bani Abidi and Saskya JainImage Credit: Private"
"10",10,"2024-12-10","Guest Lecture by Tarek El-Ariss | War, Trauma, Memory – Magical Realisms in Lebanese Diasporic Writing","Tarek El-ArissImage Credit: Elie Burakian"
