"","X","token","cat","lemma","pos","category","funct","case","pers","num","gender","tense","mode"
"2038",2038,"bin","VFIN.Aux.1.Sg.Pres.Ind","sein",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2040",2040,";","SYM.Pun.Sent",";",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2041",2041,"daß","CONJ.SubFin","dass",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2042",2042,"es","PRO.Pers.Subst.3.Nom.Sg.Neut","sie",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2043",2043,"aber","ADV","aber",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2044",2044,"meine","PRO.Poss.Attr.Acc.Sg.Fem","meine",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2045",2045,"Hand","N.Reg.Acc.Sg.Fem","Hand",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2046",2046,"nur","ADV","nur",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2047",2047,"nicht","PART.Neg","nicht",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2048",2048,"immer","ADV","immer",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2049",2049,"ist","VFIN.Aux.3.Sg.Pres.Ind","sein",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2051",2051,".","SYM.Pun.Sent",".",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2052",2052,"–","N.Reg.Acc.Sg.Neut","–",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2053",2053,"Oder","CONJ.Coord","oder",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2054",2054,"meinen","VFIN.Full.3.Pl.Pres.Ind","meinen",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2055",2055,"Sie","PRO.Pers.Subst.3.Nom.Pl.*","sie",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2057",2057,",","SYM.Pun.Comma",",",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2058",2058,"Prinz","N.Name.Nom.Sg.Masc","Prinz",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2060",2060,",","SYM.Pun.Comma",",",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2061",2061,"daß","CONJ.SubFin","dass",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2062",2062,"Raphael","N.Name.Nom.Sg.Masc","Raphael",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2063",2063,"nicht","PART.Neg","nicht",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2064",2064,"das","ART.Def.Nom.Sg.Neut","die",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2065",2065,"größte","ADJA.Sup.Nom.Sg.Neut","groß",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2066",2066,"malerische","ADJA.Pos.Nom.Sg.Neut","malerisch",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2067",2067,"Genie","N.Reg.Nom.Sg.Neut","Genie",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2068",2068,"gewesen","VPP.Aux.Psp","sein",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2069",2069,"wäre","VFIN.Aux.3.Sg.Past.Subj","sein",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2071",2071,",","SYM.Pun.Comma",",",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2072",2072,"wenn","CONJ.SubFin","wenn",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2073",2073,"er","PRO.Pers.Subst.3.Nom.Sg.Masc","sie",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2074",2074,"unglücklicher","ADJA.Pos.Dat.Sg.Fem","unglücklich",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2075",2075,"Weise","N.Reg.Dat.Sg.Fem","Weise",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2076",2076,"ohne","APPR","ohne",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2077",2077,"Hände","N.Reg.Acc.Pl.Fem","Hand",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2078",2078,"wäre","VFIN.Aux.3.Sg.Past.Subj","sein",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2079",2079,"geboren","VPP.Full.Psp","gebären",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2080",2080,"worden","VPP.Aux.Psp","werden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2082",2082,"?","SYM.Pun.Sent","?",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2085",2085,"Meinen","VFIN.Full.3.Pl.Pres.Ind","meinen",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2086",2086,"Sie","PRO.Pers.Subst.3.Nom.Pl.*","sie",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2088",2088,",","SYM.Pun.Comma",",",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2089",2089,"Prinz","N.Reg.Nom.Sg.Masc","Prinz",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2091",2091,"?","SYM.Pun.Sent","?",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2094",2094,"Was","PRO.Inter.Subst.Acc.Sg.Neut","was",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2095",2095,"sagen","VFIN.Full.3.Pl.Pres.Ind","sagen",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2096",2096,"Sie","PRO.Pers.Subst.3.Nom.Pl.*","sie",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2098",2098,",","SYM.Pun.Comma",",",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2099",2099,"Conti","N.Name.Nom.Sg.*","Conti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2101",2101,"?","SYM.Pun.Sent","?",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2104",2104,"Was","PRO.Inter.Subst.Acc.Sg.Neut","was",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2105",2105,"wollen","VFIN.Mod.3.Pl.Pres.Ind","wollen",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2106",2106,"Sie","PRO.Pers.Subst.3.Nom.Pl.*","sie",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2107",2107,"wissen","VINF.Full","wissen",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2109",2109,"?","SYM.Pun.Sent","?",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2112",2112,"O","N.Name.Nom.Sg.*","O",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2113",2113,"nichts","PRO.Indef.Subst.*.*.Neut","nichts",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2115",2115,",","SYM.Pun.Comma",",",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2116",2116,"nichts","PRO.Indef.Subst.*.*.Neut","nichts",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2118",2118,"!","SYM.Pun.Sent","!",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2119",2119,"–","ADJA.Pos.Acc.Sg.Fem","–",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2120",2120,"Plauderei","N.Reg.Acc.Sg.Fem","Plauderei",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2122",2122,"!","SYM.Pun.Sent","!",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2125",2125,"Ihre","PRO.Poss.Attr.Nom.Sg.Fem","ihre",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2126",2126,"Seele","N.Reg.Nom.Sg.Fem","Seele",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2128",2128,",","SYM.Pun.Comma",",",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2129",2129,"merk","VIMP.Full.2.Sg","merken",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2131",2131,"'","SYM.Quot.Right","'",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2132",2132,"ich","PRO.Pers.Subst.1.Nom.Sg.*","sie",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2134",2134,",","SYM.Pun.Comma",",",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2135",2135,"war","VFIN.Aux.1.Sg.Past.Ind","sein",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2136",2136,"ganz","ADJD.Pos","ganz",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2137",2137,"in","APPR","in",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2138",2138,"Ihren","PRO.Poss.Attr.Dat.Pl.Neut","ihre",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2139",2139,"Augen","N.Reg.Dat.Pl.Neut","Auge",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2141",2141,".","SYM.Pun.Sent",".",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2144",2144,"Ich","PRO.Pers.Subst.1.Nom.Sg.*","sie",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2145",2145,"liebe","VFIN.Full.1.Sg.Pres.Ind","lieben",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2146",2146,"solche","PRO.Indef.Attr.Acc.Pl.Fem","solche",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2147",2147,"Seelen","N.Reg.Acc.Pl.Fem","Seele",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2149",2149,",","SYM.Pun.Comma",",",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2150",2150,"und","CONJ.Coord","und",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2151",2151,"solche","PRO.Indef.Attr.Acc.Pl.Neut","solche",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2152",2152,"Augen","N.Reg.Acc.Pl.Neut","Auge",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2154",2154,".","SYM.Pun.Sent",".",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2157",2157,"Also","PART.Ans","Also",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2159",2159,",","SYM.Pun.Comma",",",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2160",2160,"Conti","N.Name.Nom.Sg.*","Conti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2162",2162,",","SYM.Pun.Comma",",",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2163",2163,"rechnen","VFIN.Full.3.Pl.Pres.Ind","rechnen",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2164",2164,"Sie","PRO.Pers.Subst.3.Nom.Pl.*","sie",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2165",2165,"doch","ADV","doch",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2166",2166,"wirklich","ADJD.Pos","wirklich",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2167",2167,"Emilia","N.Name.*.*.*","Emilia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2168",2168,"Galotti","N.Name.Nom.Sg.*","Galotti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2169",2169,"mit","APPR","mit",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2170",2170,"zu","APPR","zu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2171",2171,"den","ART.Def.Dat.Pl.Fem","die",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2172",2172,"vorzüglichsten","ADJA.Sup.Dat.Pl.Fem","vorzüglich",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2173",2173,"Schönheiten","N.Reg.Dat.Pl.Fem","Schönheit",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2174",2174,"unserer","PRO.Poss.Attr.Gen.Sg.Fem","unsre",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2175",2175,"Stadt","N.Reg.Gen.Sg.Fem","Stadt",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2177",2177,"?","SYM.Pun.Sent","?",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2180",2180,"Also","PART.Ans","Also",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2182",2182,"?","SYM.Pun.Sent","?",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2183",2183,"mit","PART.Verb","mit",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2185",2185,"?","SYM.Pun.Sent","?",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2186",2186,"mit","APPR","mit",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2187",2187,"zu","APPR","zu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2188",2188,"den","ART.Def.Dat.Pl.Fem","die",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2189",2189,"vorzüglichsten","ADJA.Sup.Dat.Pl.Fem","vorzüglich",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2191",2191,"?","SYM.Pun.Sent","?",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2192",2192,"und","CONJ.Coord","und",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2193",2193,"den","ART.Def.Acc.Sg.Masc","die",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2194",2194,"vorzüglichsten","ADJA.Sup.Acc.Sg.Masc","vorzüglich",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2195",2195,"unserer","PRO.Poss.Attr.Dat.Sg.Fem","unsre",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2196",2196,"Stadt","N.Reg.Dat.Sg.Fem","Stadt",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2198",2198,"?","SYM.Pun.Sent","?",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2199",2199,"–","CARD","[number]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2200",2200,"Sie","PRO.Pers.Subst.3.Nom.Pl.*","sie",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2201",2201,"spotten","VFIN.Full.3.Pl.Pres.Ind","spotten",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2202",2202,"meiner","PRO.Poss.Attr.Dat.Sg.Fem","meine",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2204",2204,",","SYM.Pun.Comma",",",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2205",2205,"Prinz","N.Name.Nom.Sg.Masc","Prinz",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2207",2207,".","SYM.Pun.Sent",".",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2210",2210,"Oder","CONJ.Coord","oder",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2211",2211,"Sie","PRO.Pers.Subst.3.Nom.Pl.*","sie",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2212",2212,"sahen","VFIN.Full.3.Pl.Past.Ind","sehen",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2214",2214,",","SYM.Pun.Comma",",",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2215",2215,"die","ART.Def.Acc.Sg.Fem","die",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2216",2216,"ganze","ADJA.Pos.Acc.Sg.Fem","ganz",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2217",2217,"Zeit","N.Reg.Acc.Sg.Fem","Zeit",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2219",2219,",","SYM.Pun.Comma",",",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2220",2220,"eben","ADV","eben",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2221",2221,"so","ADV","so",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2222",2222,"wenig","PRO.Indef.Subst.*.*.*","wenig",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2224",2224,",","SYM.Pun.Comma",",",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2225",2225,"als","CONJ.Comp","als",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2226",2226,"Sie","PRO.Pers.Subst.3.Nom.Pl.*","sie",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2227",2227,"hörten","VFIN.Full.3.Pl.Past.Ind","hören",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2229",2229,".","SYM.Pun.Sent",".",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2232",2232,"Lieber","ADV","lieber",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2233",2233,"Conti","N.Name.Nom.Sg.*","Conti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2235",2235,",","SYM.Pun.Comma",",",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2236",2236,"–","CARD","[number]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2237",2237,"wie","CONJ.Comp","wie",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2238",2238,"darf","VFIN.Mod.3.Sg.Pres.Ind","dürfen",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2239",2239,"unser","PRO.Poss.Attr.Nom.Sg.Neut","unsre",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2240",2240,"einer","PRO.Indef.Subst.Nom.Sg.Masc","eine",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2241",2241,"seinen","PRO.Poss.Attr.Dat.Pl.Neut","seine",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2242",2242,"Augen","N.Reg.Dat.Pl.Neut","Auge",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2243",2243,"trauen","VINF.Full","trauen",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2245",2245,"?","SYM.Pun.Sent","?",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2248",2248,"Eigentlich","ADV","eigentlich",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2249",2249,"weiß","VFIN.Full.3.Sg.Pres.Ind","wissen",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2250",2250,"doch","ADV","doch",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2251",2251,"nur","ADV","nur",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2252",2252,"allein","ADV","allein",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2253",2253,"ein","ART.Indef.Nom.Sg.Masc","eine",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2254",2254,"Maler","N.Reg.Nom.Sg.Masc","Maler",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2255",2255,"von","APPR","von",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2256",2256,"der","ART.Def.Dat.Sg.Fem","die",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2257",2257,"Schönheit","N.Reg.Dat.Sg.Fem","Schönheit",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2258",2258,"zu","PART.Zu","zu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2259",2259,"urteilen","VINF.Full","urteilen",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2261",2261,".","SYM.Pun.Sent",".",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2264",2264,"Und","CONJ.Coord","und",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2265",2265,"eines","PRO.Indef.Subst.Nom.Sg.Neut","eine",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2266",2266,"jeden","PRO.Indef.Attr.Acc.Sg.Masc","jede",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2267",2267,"Empfindung","N.Reg.Acc.Sg.Fem","Empfindung",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2268",2268,"sollte","VFIN.Mod.3.Sg.Past.Ind","sollen",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2269",2269,"erst","ADV","erst",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2270",2270,"auf","APPR","auf",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2271",2271,"den","ART.Def.Acc.Sg.Masc","die",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2272",2272,"Ausspruch","N.Reg.Acc.Sg.Masc","Ausspruch",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2273",2273,"eines","ART.Indef.Gen.Sg.Masc","eine",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2274",2274,"Malers","N.Reg.Gen.Sg.Masc","Maler",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2275",2275,"warten","VINF.Full","warten",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2277",2277,"?","SYM.Pun.Sent","?",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2278",2278,"–","N.Reg.Nom.Sg.Masc","–",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2279",2279,"Ins","APPRART.Acc.Sg.Neut","in",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2280",2280,"Kloster","N.Reg.Acc.Sg.Neut","Kloster",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2281",2281,"mit","APPR","mit",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2282",2282,"dem","PRO.Dem.Subst.Dat.Sg.Masc","die",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2284",2284,",","SYM.Pun.Comma",",",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2285",2285,"der","PRO.Rel.Subst.Nom.Sg.Masc","die",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2286",2286,"es","PRO.Pers.Subst.3.Acc.Sg.Neut","sie",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2287",2287,"von","APPR","von",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2288",2288,"uns","PRO.Pers.Subst.1.Dat.Pl.*","sie",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2289",2289,"lernen","VINF.Full","lernen",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2290",2290,"will","VFIN.Mod.3.Sg.Pres.Ind","wollen",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2292",2292,",","SYM.Pun.Comma",",",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2293",2293,"was","PRO.Inter.Subst.Nom.Sg.Neut","was",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2294",2294,"schön","ADJD.Pos","schön",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2295",2295,"ist","VFIN.Aux.3.Sg.Pres.Ind","sein",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2297",2297,"!","SYM.Pun.Sent","!",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2300",2300,"Aber","CONJ.Coord","aber",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2301",2301,"das","PRO.Dem.Subst.Acc.Sg.Neut","die",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2302",2302,"muß","VFIN.Mod.1.Sg.Pres.Ind","müssen",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2303",2303,"ich","PRO.Pers.Subst.1.Nom.Sg.*","sie",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2304",2304,"Ihnen","PRO.Pers.Subst.3.Dat.Pl.*","sie",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2305",2305,"doch","ADV","doch",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2306",2306,"als","APPR","als",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2307",2307,"Maler","N.Reg.Acc.Sg.Masc","Maler",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2308",2308,"sagen","VFIN.Full.1.Pl.Pres.Ind","sagen",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2310",2310,",","SYM.Pun.Comma",",",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2311",2311,"mein","PRO.Poss.Attr.Nom.Sg.Masc","meine",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2312",2312,"Prinz","N.Reg.Nom.Sg.Masc","Prinz",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2314",2314,":","SYM.Pun.Colon",":",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2315",2315,"eine","ART.Indef.Nom.Sg.Fem","eine",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2316",2316,"von","APPR","von",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2317",2317,"den","ART.Def.Dat.Pl.Fem","die",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2318",2318,"größten","ADJA.Sup.Dat.Pl.Fem","groß",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2319",2319,"Glückseligkeiten","N.Reg.Dat.Pl.Fem","Glückseligkeit",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2320",2320,"meines","PRO.Poss.Attr.Gen.Sg.Neut","meine",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2321",2321,"Lebens","N.Reg.Gen.Sg.Neut","Leben",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2322",2322,"ist","VFIN.Aux.3.Sg.Pres.Ind","sein",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2323",2323,"es","PRO.Pers.Subst.3.Nom.Sg.Neut","sie",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2325",2325,",","SYM.Pun.Comma",",",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2326",2326,"daß","CONJ.SubFin","dass",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2327",2327,"Emilia","N.Name.*.*.*","Emilia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2328",2328,"Galotti","N.Name.Nom.Sg.*","Galotti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2329",2329,"mir","PRO.Pers.Subst.1.Dat.Sg.*","sie",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2330",2330,"gesessen","VPP.Full.Psp","sitzen",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2332",2332,".","SYM.Pun.Sent",".",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2335",2335,"Dieser","PRO.Dem.Attr.Nom.Sg.Masc","diese",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2336",2336,"Kopf","N.Reg.Nom.Sg.Masc","Kopf",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2338",2338,",","SYM.Pun.Comma",",",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2339",2339,"dieses","PRO.Dem.Attr.Acc.Sg.Neut","diese",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2340",2340,"Antlitz","N.Reg.Acc.Sg.Neut","Antlitz",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2342",2342,",","SYM.Pun.Comma",",",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2343",2343,"diese","PRO.Dem.Attr.Acc.Sg.Fem","diese",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2344",2344,"Stirn","N.Reg.Acc.Sg.Fem","Stirn",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2346",2346,",","SYM.Pun.Comma",",",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2347",2347,"diese","PRO.Dem.Attr.Acc.Pl.Neut","diese",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2348",2348,"Augen","N.Reg.Acc.Pl.Neut","Auge",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2350",2350,",","SYM.Pun.Comma",",",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2351",2351,"diese","PRO.Dem.Attr.Acc.Sg.Fem","diese",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2352",2352,"Nase","N.Reg.Acc.Sg.Fem","Nase",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2354",2354,",","SYM.Pun.Comma",",",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2355",2355,"dieser","PRO.Dem.Attr.Nom.Sg.Masc","diese",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2356",2356,"Mund","N.Reg.Nom.Sg.Masc","Mund",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2358",2358,",","SYM.Pun.Comma",",",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2359",2359,"dieses","PRO.Dem.Attr.Nom.Sg.Neut","diese",NA,NA,NA,NA,NA,NA,NA,NA,NA
