"","row","cpt","pb","pb2","man","tei1"
"1",1,"[73]",NA,NA,"<pb no=""73""/>","<pb no=""73""/>"
"2",2,"Blind geladen.","Blind geladen.","Blind geladen.","",NA
"3",3,"Blind geladen.","Blind geladen.","Blind geladen.","",NA
"4",4,"","","","",NA
"5",5,"","","","",NA
"6",6,"","","","",NA
"7",7,"Lustspiel in Einem Akt.","Lustspiel in Einem Akt.","Lustspiel in Einem Akt.","",NA
"8",8,"Lustspiel in Einem Akt.","Lustspiel in Einem Akt. [74]","Lustspiel in Einem Akt. <pb no=""74""/>","<front><div type=""front""><head>Blind geladen.</head><head>Lustspiel in Einem Akt. <pb no=""74""/></head></div>","<front><div type=""front""><head>Blind geladen.</head><head>Lustspiel in Einem Akt. <pb no=""74""/></head></div>"
"9",9,"","","","",NA
"10",10,"[74]","","","",NA
"11",11,"Personen.","Personen.","Personen.","",NA
"12",12,"Personen.","Personen.","Personen.","<div type=""Dramatis Personae""><castList><head>Personen.</head><castItem><role>Baron Eschenholz</role><roleDesc>ein Landedelmann</roleDesc></castItem><castItem><role>Wilhelmine</role><roleDesc>seine Tochter</roleDesc></castItem><castItem><role>Hauptmann von Thal</role><roleDesc></roleDesc></castItem><castItem><role>Krips</role><roleDesc>sein Bedienter</roleDesc></castItem><castItem><role>Rittmeister von Blum</role><roleDesc></roleDesc></castItem><castItem><role>Zauser</role><roleDesc>sein Bedienter</roleDesc></castItem><castItem><role>Michel</role><roleDesc>ein Ziegelbrenner</roleDesc></castItem></castList></div>","<div type=""Dramatis Personae""><castList><head>Personen.</head><castItem><role>Baron Eschenholz</role><roleDesc>ein Landedelmann</roleDesc></castItem><castItem><role>Wilhelmine</role><roleDesc>seine Tochter</roleDesc></castItem><castItem><role>Hauptmann von Thal</role><roleDesc></roleDesc></castItem><castItem><role>Krips</role><roleDesc>sein Bedienter</roleDesc></castItem><castItem><role>Rittmeister von Blum</role><roleDesc></roleDesc></castItem><castItem><role>Zauser</role><roleDesc>sein Bedienter</roleDesc></castItem><castItem><role>Michel</role><roleDesc>ein Ziegelbrenner</roleDesc></castItem></castList></div>"
"13",13,"","","","",NA
"14",14,"Baron Eschenholz, ein Landedelmann.
Wilhelmine, seine Tochter.
Hauptmann von Thal.
Krips, sein Bedienter.
Rittmeister von Blum.
Zauser, sein Bedienter.
Michel, ein Ziegelbrenner.","Baron Eschenholz, ein Landedelmann. Wilhelmine, seine Tochter. Hauptmann von Thal. Krips, sein Bedienter. Rittmeister von Blum. Zauser, sein Bedienter. Michel, ein Ziegelbrenner.","Baron Eschenholz, ein Landedelmann. Wilhelmine, seine Tochter. Hauptmann von Thal. Krips, sein Bedienter. Rittmeister von Blum. Zauser, sein Bedienter. Michel, ein Ziegelbrenner.","",NA
"15",15,"","","","",NA
"16",16,"(Die Scene ist ein Platz im Dorfe. An einer Seite das Landhaus des Barons mit einem Balcon; unter dem Balcon eine dichte Laube.)","(Die Scene ist ein Platz im Dorfe. An einer Seite das Landhaus des Barons mit einem Balcon; unter dem Balcon eine dichte Laube.)","(Die Scene ist ein Platz im Dorfe. An einer Seite das Landhaus des Barons mit einem Balcon; unter dem Balcon eine dichte Laube.)","",NA
"17",17,"(Die Scene ist ein Platz im Dorfe. An einer Seite das Landhaus des Barons mit einem Balcon; unter dem Balcon eine dichte Laube.)","(Die Scene ist ein Platz im Dorfe. An einer Seite das Landhaus des Barons mit einem Balcon; unter dem Balcon eine dichte Laube.)","(Die Scene ist ein Platz im Dorfe. An einer Seite das Landhaus des Barons mit einem Balcon; unter dem Balcon eine dichte Laube.)","<div type=""stage"">(Die Scene ist ein Platz im Dorfe. An einer Seite das Landhaus des Barons mit einem Balcon; unter dem Balcon eine dichte Laube.)</div>","<div type=""stage"">(Die Scene ist ein Platz im Dorfe. An einer Seite das Landhaus des Barons mit einem Balcon; unter dem Balcon eine dichte Laube.)</div>"
"18",18,"","","","",NA
"19",19,"","","","",NA
"20",20,"Anmerkung. Die Hauptidee zu diesem Scherz ist
mir in einem Briefe von demselben Freunde mitgetheilt
worden, dem ich vor mehreren Jahren den
Plan zu der Oper: Der Spiegelritter, verdankte.
Da ein Herr Vulpius diesen letzten Plan
nachher als sein Eigenthum vindicirte, und es also
möglich wäre, daß auch der hier bearbeitete Stoff
ihm oder einem andern ursprünglich zugehörte, so
will ich solches lieber hiemit angezeigt haben, obgleich
es bekannt genug ist, daß nur die Verarbeitung
des Stoffes Anspruch auf Originalität
gibt.","Anmerkung. Die Hauptidee zu diesem Scherz ist mir in einem Briefe von demselben Freunde mitgetheilt worden, dem ich vor mehreren Jahren den Plan zu der Oper: Der Spiegelritter, verdankte. Da ein Herr Vulpius diesen letzten Plan nachher als sein Eigenthum vindicirte, und es also möglich wäre, daß auch der hier bearbeitete Stoff ihm oder einem andern ursprünglich zugehörte, so will ich solches lieber hiemit angezeigt haben, obgleich es bekannt genug ist, daß nur die Verarbeitung des Stoffes Anspruch auf Originalität gibt. [75]","Anmerkung. Die Hauptidee zu diesem Scherz ist mir in einem Briefe von demselben Freunde mitgetheilt worden, dem ich vor mehreren Jahren den Plan zu der Oper: Der Spiegelritter, verdankte. Da ein Herr Vulpius diesen letzten Plan nachher als sein Eigenthum vindicirte, und es also möglich wäre, daß auch der hier bearbeitete Stoff ihm oder einem andern ursprünglich zugehörte, so will ich solches lieber hiemit angezeigt haben, obgleich es bekannt genug ist, daß nur die Verarbeitung des Stoffes Anspruch auf Originalität gibt. <pb no=""75""/>","<div type=""anmerkung"">Anmerkung. Die Hauptidee zu diesem Scherz ist mir in einem Briefe von demselben Freunde mitgetheilt worden, dem ich vor mehreren Jahren den Plan zu der Oper: Der Spiegelritter, verdankte. Da ein Herr Vulpius diesen letzten Plan nachher als sein Eigenthum vindicirte, und es also möglich wäre, daß auch der hier bearbeitete Stoff ihm oder einem andern ursprünglich zugehörte, so will ich solches lieber hiemit angezeigt haben, obgleich es bekannt genug ist, daß nur die Verarbeitung des Stoffes Anspruch auf Originalität gibt. <pb no=""75""/></div>","<div type=""anmerkung"">Anmerkung. Die Hauptidee zu diesem Scherz ist mir in einem Briefe von demselben Freunde mitgetheilt worden, dem ich vor mehreren Jahren den Plan zu der Oper: Der Spiegelritter, verdankte. Da ein Herr Vulpius diesen letzten Plan nachher als sein Eigenthum vindicirte, und es also möglich wäre, daß auch der hier bearbeitete Stoff ihm oder einem andern ursprünglich zugehörte, so will ich solches lieber hiemit angezeigt haben, obgleich es bekannt genug ist, daß nur die Verarbeitung des Stoffes Anspruch auf Originalität gibt. <pb no=""75""/></div>"
"21",21,"","","","",NA
"22",22,"[75]","","","</front><body>","</front><body>"
"23",23,"Erste Scene.","Erste Scene.","Erste Scene.","",NA
"24",24,"Erste Scene.","Erste Scene.","<div type=""scene""><head>Erste Scene.</head>","","<div type=""scene""><head>Erste Scene.</head>"
"25",25,"Der Baron und Wilhelmine.","Der Baron und Wilhelmine.","Der Baron und Wilhelmine.","",NA
"26",26,"Der Baron und Wilhelmine.","Der Baron und Wilhelmine.","<stage>Der Baron und Wilhelmine.</stage>","","<stage>Der Baron und Wilhelmine.</stage>"
"27",27,"Baron.
Nun, Minchen, entschließe Dich kurz und gut, denn
ich habe Deinen Freiern kund gethan, daß Du heute
zwischen ihnen wählen würdest.","Baron. Nun, Minchen, entschließe Dich kurz und gut, denn ich habe Deinen Freiern kund gethan, daß Du heute zwischen ihnen wählen würdest.","<sp who=""#baron""><speaker>Baron</speaker><p>Nun, Minchen, entschließe Dich kurz und gut, denn ich habe Deinen Freiern kund gethan, daß Du heute zwischen ihnen wählen würdest.</p></sp>","","<sp who=""#baron""><speaker>Baron</speaker><p>Nun, Minchen, entschließe Dich kurz und gut, denn ich habe Deinen Freiern kund gethan, daß Du heute zwischen ihnen wählen würdest.</p></sp>"
